node1 node2
3	35
3	41
3	64
3	67
3	85
3	102
3	112
3	121
3	141
3	194
3	236
3	238
3	240
3	250
3	255
3	285
3	298
3	314
3	318
3	320
3	321
3	330
3	341
3	352
3	354
3	370
37	7
37	35
37	41
37	46
37	56
37	64
37	67
37	80
37	83
37	85
37	102
37	106
37	107
37	112
37	114
37	128
37	139
37	141
37	145
37	152
37	189
37	194
37	205
37	215
37	222
37	234
37	238
37	240
37	250
37	254
37	255
37	285
37	298
37	306
37	318
37	320
37	321
37	330
37	331
37	338
37	354
37	370
40	7
40	35
40	41
40	67
40	80
40	83
40	85
40	102
40	106
40	112
40	114
40	125
40	128
40	139
40	141
40	145
40	152
40	189
40	205
40	215
40	222
40	234
40	238
40	240
40	250
40	254
40	285
40	286
40	298
40	318
40	320
40	321
40	329
40	330
40	331
40	338
40	354
40	364
40	369
40	370
44	35
44	41
44	67
44	85
44	102
44	106
44	112
44	128
44	141
44	152
44	222
44	238
44	240
44	250
44	254
44	255
44	285
44	298
44	318
44	320
44	321
44	330
44	354
44	370
56	255
59	80
59	92
59	120
59	139
59	145
59	164
59	222
59	234
59	243
59	254
59	331
59	362
59	369
63	370
66	35
66	41
66	64
66	67
66	85
66	102
66	112
66	121
66	141
66	194
66	236
66	238
66	240
66	250
66	255
66	285
66	298
66	314
66	318
66	320
66	321
66	330
66	341
66	352
66	354
66	370
69	35
69	41
69	64
69	67
69	85
69	102
69	112
69	121
69	141
69	194
69	236
69	238
69	240
69	250
69	255
69	285
69	298
69	314
69	318
69	320
69	321
69	330
69	341
69	352
69	354
69	370
70	80
70	92
70	120
70	139
70	145
70	152
70	164
70	222
70	234
70	243
70	254
70	331
70	362
72	7
72	35
72	38
72	41
72	64
72	67
72	85
72	98
72	102
72	106
72	112
72	121
72	128
72	141
72	149
72	152
72	194
72	205
72	222
72	236
72	238
72	240
72	250
72	254
72	255
72	285
72	298
72	314
72	318
72	320
72	321
72	330
72	331
72	341
72	351
72	352
72	354
72	370
82	41
82	80
82	83
82	92
82	102
82	114
82	120
82	125
82	128
82	133
82	139
82	141
82	145
82	152
82	164
82	222
82	230
82	234
82	243
82	254
82	285
82	286
82	298
82	318
82	321
82	330
82	331
82	338
82	362
82	369
82	370
115	152
115	222
115	254
118	152
119	36
119	153
127	7
127	35
127	41
127	67
127	80
127	83
127	85
127	102
127	106
127	112
127	114
127	125
127	128
127	139
127	141
127	145
127	152
127	189
127	205
127	215
127	222
127	234
127	238
127	240
127	250
127	254
127	285
127	286
127	298
127	318
127	320
127	321
127	329
127	330
127	331
127	338
127	354
127	364
127	369
127	370
132	36
132	153
