LAD13CD,LAD13CDO,LAD13NM,FLUOCC,C_LAT,C_LON,TOTALOCC,RATE
E07000005,11UC,Chiltern,14,51.68047762606698,-0.6277748519996483,119,"11,7647058823529"
E07000006,11UE,South Bucks,7,51.55633370216273,-0.5900409927884362,201,"3,48258706467662"
E07000007,11UF,Wycombe,0,51.649203631278525,-0.8152465718353052,122,0
E07000008,12UB,Cambridge,12,52.199333256091606,0.1329492045266066,2320,"0,517241379310345"
E07000009,12UC,East Cambridgeshire,1,52.3430157812221,0.2946339646433247,218,"0,458715596330275"
E07000010,12UD,Fenland,4,52.562899520940434,0.060841122746925894,220,"1,81818181818182"
E07000011,12UE,Huntingdonshire,3,52.37369595998625,-0.220746391680654,153,"1,96078431372549"
E07000012,12UG,South Cambridgeshire,0,52.17279617910222,0.08126268008375373,19,0
E07000026,16UB,Allerdale,1,54.711466027433055,-3.247455740705238,208,"0,480769230769231"
E07000027,16UC,Barrow-in-Furness,4,54.12661516490039,-3.212343305902556,114,"3,50877192982456"
E07000028,16UD,Carlisle,8,54.97102588413543,-2.808577618010778,1181,"0,677392040643522"
E07000029,16UE,Copeland,1,54.41407876286318,-3.373471464439956,168,"0,595238095238095"
E07000030,16UF,Eden,1,54.612945080909945,-2.622137969104719,93,"1,0752688172043"
E07000031,16UG,South Lakeland,0,54.292752148974216,-2.849957963131177,267,0
E07000032,17UB,Amber Valley,1,53.02924076494262,-1.4666173715338393,96,"1,04166666666667"
E07000033,17UC,Bolsover,0,53.21568582889749,-1.2772293399984505,16,0
E07000034,17UD,Chesterfield,0,53.25626590470525,-1.4012106436545173,72,0
E07000035,17UF,Derbyshire Dales,0,53.128448364529355,-1.6936379658655674,114,0
E07000036,17UG,Erewash,0,52.935480079960094,-1.34673005775777,37,0
E07000037,17UH,High Peak,0,53.373058058815,-1.87390245144882,154,0
E07000038,17UJ,North East Derbyshire,9,53.22588443875539,-1.4483053525720069,653,"1,37825421133231"
E07000039,17UK,South Derbyshire,4,52.831017463610145,-1.5595357487153418,136,"2,94117647058823"
E07000040,18UB,East Devon,1,50.76415218642701,-3.2244369232618593,294,"0,340136054421769"
E07000041,18UC,Exeter,17,50.7215756634327,-3.5102322746572634,1324,"1,28398791540786"
E07000042,18UD,Mid Devon,1,50.87616879433075,-3.556223342517098,114,"0,87719298245614"
E07000043,18UE,North Devon,4,51.06980841380437,-3.9149095969269205,314,"1,27388535031847"
E07000044,18UG,South Hams,0,50.37396496424281,-3.823060268914164,69,0
E07000045,18UH,Teignbridge,1,50.606311965737,-3.65648831168084,196,"0,510204081632653"
E07000046,18UK,Torridge,0,50.88744072513195,-4.250773568181947,126,0
E07000047,18UL,West Devon,48,50.65619432849985,-4.046158127521429,140,"34,2857142857143"
E07000048,19UC,Christchurch,3,50.76148146890825,-1.7883257868900169,119,"2,52100840336134"
E07000049,19UD,East Dorset,0,50.86366526049482,-1.9615423921476842,34,0
E07000050,19UE,North Dorset,0,50.91248671310313,-2.246385603810662,43,0
E07000051,19UG,Purbeck,2,50.68159019144584,-2.1312589516697127,72,"2,77777777777778"
E07000052,19UH,West Dorset,1,50.7844627023445,-2.5784797624249443,61,"1,63934426229508"
E07000053,19UJ,Weymouth and Portland,1,50.6094812171559,-2.4553798628828343,428,"0,233644859813084"
E07000061,21UC,Eastbourne,7,50.77603526310248,0.2662361847346582,521,"1,34357005758157"
E07000062,21UD,Hastings,2,50.8692691892806,0.5703992922994398,321,"0,623052959501558"
E07000063,21UF,Lewes,50,50.88209850082865,0.004989088140662217,179,"27,9329608938547"
E07000064,21UG,Rother,0,50.951512204479144,0.539299322309435,189,0
E07000065,21UH,Wealden,3,50.967447729782066,0.19854675866972615,177,"1,69491525423729"
E07000066,22UB,Basildon,6,51.5900857051688,0.46630362019199967,463,"1,29589632829374"
E07000067,22UC,Braintree,1,51.941895317154156,0.5899225792588424,160,"0,625"
E07000068,22UD,Brentwood,21,51.63859909237973,0.3107799312577096,647,"3,24574961360124"
E07000069,22UE,Castle Point,1,51.536364483714515,0.5947161814383987,125,"0,8"
E07000070,22UF,Chelmsford,17,51.72542919041293,0.4808855013996978,1302,"1,30568356374808"
E07000071,22UG,Colchester,259,51.87253122837605,0.8609051434595005,1235,"20,9716599190283"
E07000072,22UH,Epping Forest,0,51.708836053456956,0.14876160808671077,73,0
E07000073,22UJ,Harlow,5,51.76830067305255,0.10857071726723459,294,"1,70068027210884"
E07000074,22UK,Maldon,3,51.70966942551047,0.7831767507881877,198,"1,51515151515152"
E07000075,22UL,Rochford,44,51.59131771045217,0.809534061277242,61,"72,1311475409836"
E07000076,22UN,Tendring,94,51.8713886041578,1.1150940490483126,223,"42,152466367713"
E07000077,22UQ,Uttlesford,2,51.934655711542504,0.27974641530562644,232,"0,862068965517241"
E07000078,23UB,Cheltenham,7,51.89696065080143,-2.074044816155511,873,"0,801832760595647"
E07000079,23UC,Cotswold,1,51.81663772500411,-1.8924275031865443,173,"0,578034682080925"
E07000080,23UD,Forest of Dean,1,51.82841277527464,-2.4898120942111577,119,"0,840336134453782"
E07000081,23UE,Gloucester,9,51.84933388155073,-2.2402760292108677,867,"1,03806228373702"
E07000082,23UF,Stroud,3,51.72924834054955,-2.300072656120393,256,"1,171875"
E07000083,23UG,Tewkesbury,0,51.94556792843988,-2.0873343467098633,222,0
E07000084,24UB,Basingstoke and Deane,5,51.27340466252832,-1.2009886356797614,584,"0,856164383561644"
E07000085,24UC,East Hampshire,2,51.074599474626964,-0.9550683716968535,81,"2,46913580246914"
E07000086,24UD,Eastleigh,1,50.93299184050038,-1.3272294487240544,171,"0,584795321637427"
E07000087,24UE,Fareham,1,50.85259951721703,-1.2246708323378739,335,"0,298507462686567"
E07000088,24UF,Gosport,2,50.80519459524044,-1.1593794592450974,324,"0,617283950617284"
E07000089,24UG,Hart,2,51.28478324225611,-0.8974566942916297,198,"1,01010101010101"
E07000090,24UH,Havant,0,50.83824224898536,-0.9894191231645897,87,0
E07000091,24UJ,New Forest,0,50.858338467576424,-1.6249136620767521,57,0
